RIC,Company_Name
ACKB.BR,Ackermans & Van Haaren NV
ACLN.S,Accelleron Industries AG
ACPP.WA,Asseco Poland SA
ACS.MC,ACS Actividades de Construccion y Servicios SA
AEGN.AS,Aegon Ltd
AGES.BR,Ageas SA
AIBG.I,AIB Group PLC
AKZO.AS,Akzo Nobel NV
ALEP.WA,Allegro.eu SA
AMBUb.CO,Ambu A/S
ANDR.VI,Andritz AG
AUTOA.L,Autotrader Group PLC
AV.L,Aviva PLC
AXAF.PA,AXA SA
AZMT.MI,Azimut Holding SpA
BAKKA.OL,P/F Bakkafrost
BARC.L,Barclays PLC
BAVA.CO,Bavarian Nordic A/S
BBVA.MC,Banco Bilbao Vizcaya Argentaria SA
BEIJb.ST,Beijer Ref AB (publ)
BEZG.L,Beazley PLC
BFT.WA,Benefit Systems SA
BIOX.PA,Biomerieux SA
BKT.MC,Bankinter SA
BMWG.DE,Bayerische Motoren Werke AG
BWY.L,Bellway PLC
CAST.ST,Castellum AB
CCH.L,Coca Cola HBC AG
CCL.L,Carnival PLC
CLNX.MC,Cellnex Telecom S.a
CPRI.MI,Davide Campari Milano NV
CRDA.L,Croda International PLC
CRDI.MI,UniCredit SpA
CTEC.L,ConvaTec Group PLC
CVC.AS,CVC Capital Partners PLC
CWK.L,Cranswick PLC
DANO.PA,Danone SA
DAST.PA,Dassault Systemes SE
DB1Gn.DE,Deutsche Boerse AG
DEMANT.CO,Demant A/S
DIOR.PA,Christian Dior SE
DLG.MI,De' Longhi SpA
DPLM.L,Diploma PLC
DSFIR.AS,DSM-Firmenich AG
ELIS.PA,Elis SA
ELISA.HE,Elisa Oyj
EPIRa.ST,Epiroc AB
EQTAB.ST,EQT AB
ERST.VI,Erste Group Bank AG
ESSITYb.ST,Essity AB (publ)
EVOG.ST,Evolution AB (publ)
EXOR.AS,Exor NV
FNTGn.DE,freenet AG
FRAG.DE,Fraport Frankfurt Airport Services Worldwide AG
FRES.L,Fresnillo PLC
FRO.OL,Frontline PLC
GBFG.DE,Bilfinger Se
GETP.PA,Getlink SE
GF.S,Georg Fischer AG
GRLS.MC,Grifols SA
HEIO.AS,Heineken Holding NV
HMb.ST,H & M Hennes & Mauritz AB
HRA.MI,Hera SpA
HRMS.PA,Hermes International SCA
IDR.MC,Indra Sistemas SA
III.L,3i Group PLC
IMB.L,Imperial Brands PLC
INCH.L,Inchcape PLC
INF.L,Informa PLC
INGA.AS,ING Groep NV
IPN.PA,Ipsen SA
ITRK.L,Intertek Group PLC
IVG.MI,Iveco Group NV
JMT.LS,Jeronimo Martins SGPS SA
KBC.BR,Kbc Groep NV
KBCA.BR,Kbc Ancora NV
KCRA.HE,Konecranes Oyj
KPN.AS,Koninklijke KPN NV
LAGRb.ST,Lagercrantz Group AB
LAND.L,Land Securities Group PLC
LLOY.L,Lloyds Banking Group PLC
LOIM.PA,Klepierre SA
MBK.WA,mBank SA
METSO.HE,Metso Oyj
MICCT.AS,Magnum Ice Cream Company NV
MKS.L,Marks and Spencer Group PLC
MNDI.L,Mondi PLC
