RIC,Date,Price_To_Book,Pretax_ROA,ROA_TTM
A2.MI,2021-01-01,1.1467,4.1218,3.2591
AAF.L,2021-01-01,1.0309,6.487,3.3749
AAK.ST,2021-01-01,4.3715,9.0271,6.996
AAL.L,2021-01-01,1.4634,9.2075,
AALB.AS,2021-01-01,2.2726,4.9101,
ABBN.S,2021-01-01,3.4886,1.929,0.7913
ABDN.L,2021-01-01,0.9063,7.653,
ABF.L,2021-01-01,1.6001,4.5089,
ABI.BR,2021-01-01,2.0187,0.8979,0.0635
ABNd.AS,2021-01-01,0.3967,0.0924,
ABVX.PA,2021-01-01,105.5042,-65.2317,
ACCP.PA,2021-01-01,2.4998,-18.8567,-18.3503
ACKB.BR,2021-01-01,1.16746242482724,1.76093522257692,1.457589
ACLN.S,2021-01-01,,,
ACPP.WA,2021-01-01,0.967117877,5.5442698351859,2.485657
ACS.MC,2021-01-01,2.13508099219709,1.68586525385033,1.490362
AD.AS,2021-01-01,1.7575,5.2484,4.5556
ADDTb.ST,2021-01-01,5.44,14.2113,9.2462
ADEN.S,2021-01-01,2.7483,0.6679,-0.9527
ADML.L,2021-01-01,6.8089,7.8846,6.5078
ADP.PA,2021-01-01,2.8746,-9.9765,-8.5343
ADSGn.DE,2021-01-01,9.0037,2.77,2.2093
ADYEN.AS,2021-01-01,47.4731,9.551,7.714
AEGN.AS,2021-01-01,0.249630586,0.012649492721459,0.009939
AENA.MC,2021-01-01,3.259,-1.3919,-1.0522
AG1G.DE,2021-01-01,,-25.1974,
AGES.BR,2021-01-01,0.713402808153657,1.17718062523685,1.033202
AIBG.I,2021-01-01,0.338544769,-0.709270772013956,-0.736072
AIR.PA,2021-01-01,10.7711,-1.0067,-1.0414
AIRP.PA,2021-01-01,3.4184,7.4966,
AIXGn.DE,2021-01-01,3.2206,6.0819,5.9772
AKE.PA,2021-01-01,1.5978,4.7307,
AKRBP.OL,2021-01-01,4.566,1.3282,0.3628
AKZO.AS,2021-01-01,2.864196931,5.18328810060777,4.816330
ALCC.S,2021-01-01,1.7278,-2.2984,-1.922
ALEP.WA,2021-01-01,12.732720153,2.84484144627319,2.754631
ALFA.ST,2021-01-01,3.2836,7.9469,5.7163
ALKb.CO,2021-01-01,8.665,1.8267,0.4522
ALLFG.AS,2021-01-01,,0.3639,
ALLN.S,2021-01-01,1.341,4.3099,
ALSO.PA,2021-01-01,2.6349,3.5506,3.1121
ALSYDB.CO,2021-01-01,0.6808,0.6513,0.5097
ALVG.DE,2021-01-01,1.0232,0.9274,0.6888
AM.PA,2021-01-01,1.6357,2.6111,2.0822
AMA.MC,2021-01-01,7.1614,-7.8845,-5.65
AMBUb.CO,2021-01-01,27.50877853,5.0822437789962,5.089545
AMUN.PA,2021-01-01,1.3911,4.9738,3.4129
ANA.MC,2021-01-01,1.8213,2.853,
ANDR.VI,2021-01-01,3.15719927,2.8510334397933,2.898644
ANTO.L,2021-01-01,2.5053,9.0541,5.6807
AOO.BR,2021-01-01,1.4438,6.8119,
ARDS.AS,2021-01-01,2.8087,2.4947,0.6191
ARGX.BR,2021-01-01,8.3987,-31.1265,
ASMI.AS,2021-01-01,4.7264,15.1674,12.9576
ASML.AS,2021-01-01,10.8219,15.9121,
ASRNL.AS,2021-01-01,0.7177,1.1289,0.8947
ASSAb.ST,2021-01-01,3.8208,9.9168,7.7901
ATCOa.ST,2021-01-01,9.4464,16.7268,13.1353
AUTOA.L,2021-01-01,15.128291175,24.4968372627947,25.004848
AV.L,2021-01-01,0.510577464788949,0.311948079582934,0.579362
