Date,Euribor_1M,Euribor_1Y
2014-12-01,0.00021,0.0033
2014-12-02,0.00022,0.00331
2014-12-03,0.00022,0.00328
2014-12-04,0.00022,0.00328
2014-12-05,0.00022,0.00329
2014-12-08,0.00022,0.00329
2014-12-09,0.00024,0.00329
2014-12-10,0.00022,0.00328
2014-12-11,0.00022,0.00328
2014-12-12,0.00023,0.00329
2014-12-15,0.00024,0.00329
2014-12-16,0.00025,0.00329
2014-12-17,0.00026,0.0033
2014-12-18,0.00025,0.00328
2014-12-19,0.00026,0.00329
2014-12-22,0.00026,0.00329
2014-12-23,0.00024,0.00328
2014-12-24,0.00025,0.00328
2014-12-29,0.00024,0.00328
2014-12-30,0.00019,0.00327
2014-12-31,0.00018,0.00325
2015-01-02,0.00016,0.00323
2015-01-05,0.00015,0.00321
2015-01-06,0.00015,0.00319
2015-01-07,0.00012,0.00319
2015-01-08,0.0001,0.00319
2015-01-09,9e-05,0.00318
2015-01-12,9e-05,0.00317
2015-01-13,8e-05,0.00318
2015-01-14,6e-05,0.00315
2015-01-15,7e-05,0.00313
2015-01-16,2e-05,0.00299
2015-01-19,-2e-05,0.00289
2015-01-20,-5e-05,0.00284
2015-01-21,-4e-05,0.00283
2015-01-22,-1e-05,0.00282
2015-01-23,1e-05,0.00275
2015-01-26,2e-05,0.00277
2015-01-27,5e-05,0.00277
2015-01-28,1e-05,0.00273
2015-01-29,1e-05,0.00271
2015-01-30,1e-05,0.0027
2015-02-02,3e-05,0.00271
2015-02-03,1e-05,0.00266
2015-02-04,1e-05,0.00263
2015-02-05,0.0,0.00262
2015-02-06,2e-05,0.00261
2015-02-09,-1e-05,0.00261
2015-02-10,0.0,0.00262
2015-02-11,1e-05,0.0026
2015-02-12,2e-05,0.0026
2015-02-13,2e-05,0.00259
2015-02-16,1e-05,0.00258
2015-02-17,1e-05,0.00258
2015-02-18,0.0,0.00255
2015-02-19,0.0,0.00252
2015-02-20,1e-05,0.0025
2015-02-23,1e-05,0.00246
2015-02-24,1e-05,0.00245
2015-02-25,1e-05,0.00241
2015-02-26,-4e-05,0.00238
2015-02-27,-5e-05,0.00233
2015-03-02,-5e-05,0.0023
2015-03-03,-6e-05,0.00228
2015-03-04,-6e-05,0.00227
2015-03-05,-7e-05,0.00226
2015-03-06,-8e-05,0.00225
2015-03-09,-8e-05,0.00222
2015-03-10,-9e-05,0.00219
2015-03-11,-0.00011,0.00217
2015-03-12,-9e-05,0.00215
2015-03-13,-0.0001,0.00214
2015-03-16,-0.00011,0.00212
2015-03-17,-0.00012,0.00209
2015-03-18,-0.00011,0.00212
2015-03-19,-0.00011,0.00209
2015-03-20,-0.00014,0.00205
2015-03-23,-0.00012,0.00203
2015-03-24,-0.00012,0.00202
2015-03-25,-0.00012,0.00201
2015-03-26,-0.00012,0.00201
2015-03-27,-0.00012,0.00199
2015-03-30,-0.00014,0.00198
2015-03-31,-0.00015,0.00198
2015-04-01,-0.00017,0.00196
2015-04-02,-0.00019,0.00195
2015-04-07,-0.00021,0.00195
2015-04-08,-0.00021,0.00191
2015-04-09,-0.00022,0.0019
